episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -17936.8777718544, 2, 13.33438139700047, 830, 25579,                                             25579, 0.0, 7484.962890625
2, -7493.577161312103, 2, 10.532300548999956, 658, 26237,                                             26237, 0.0, 7214.80322265625
3, -5393.934281349182, 2, 10.557092379000096, 660, 26897,                                             26897, 0.0, 5030.220703125
4, -6956.115574836731, 2, 11.528298150999944, 702, 27599,                                             27599, 0.0, 6683.5625
5, -6113.510356664658, 2, 11.158877325000503, 661, 28260,                                             28260, 0.0, 6288.99755859375
6, -7289.393684148788, 2, 11.330797243000234, 699, 28959,                                             28959, 0.0, 4755.04541015625
7, -5659.748758792877, 2, 10.945189607999964, 679, 29638,                                             29638, 0.0, 5085.74853515625
8, -6395.189112901688, 2, 10.726446788999965, 654, 30292,                                             30292, 0.0, 6371.4990234375
9, -5103.418073415756, 2, 10.547958080999706, 644, 30936,                                             30936, 0.0, 5578.662109375
10, -6785.21036529541, 2, 10.754259174999788, 670, 31606,                                             31606, 0.0, 5158.9326171875
11, -7505.1127907037735, 2, 10.517006986000524, 641, 32247,                                             32247, 0.0, 5204.5556640625
12, -6719.9295399188995, 2, 10.953245986999718, 679, 32926,                                             32926, 0.0, 5877.748046875
13, -8354.112874269485, 2, 11.750019078999685, 744, 33670,                                             33670, 0.0, 5843.74267578125
14, -7616.614121675491, 2, 11.131534240000292, 667, 34337,                                             34337, 0.0, 5381.54736328125
15, -7542.559797048569, 2, 11.528442038999856, 701, 35038,                                             35038, 0.0, 4977.24951171875
16, -5649.5249190330505, 2, 10.758642267000141, 655, 35693,                                             35693, 0.0, 5005.25830078125
17, -6594.982944965363, 2, 10.956506778999938, 652, 36345,                                             36345, 0.0, 5046.14208984375
18, -6432.1055018901825, 2, 11.33027904499977, 687, 37032,                                             37032, 0.0, 3944.499755859375
19, -6772.395390033722, 2, 10.729754884999238, 658, 37690,                                             37690, 0.0, 4022.9248046875
20, -10422.284050107002, 2, 11.751581077000083, 720, 38410,                                             38410, 0.0, 4132.2724609375
21, -9562.640875816345, 2, 12.059816447999765, 728, 39138,                                             39138, 0.0, 3982.9560546875
22, -5718.297283411026, 2, 10.726253805999477, 643, 39781,                                             39781, 0.0, 3711.700927734375
23, -8302.104721784592, 2, 8.926775078999526, 533, 40314,                                             40314, 0.0, 3699.922119140625
24, -4681.010553359985, 2, 6.538433626999904, 400, 40714,                                             40714, 0.0, 3399.589599609375
25, -5133.638601541519, 2, 6.540892931000599, 389, 41103,                                             41103, 0.0, 3923.697021484375
26, -4282.092479109764, 2, 6.7183792920004635, 402, 41505,                                             41505, 0.0, 4461.509765625
27, -7457.454107761383, 2, 9.949596740000743, 609, 42114,                                             42114, 0.0, 4106.3291015625
28, -7094.934865236282, 2, 10.554944991999946, 648, 42762,                                             42762, 0.0, 4038.662841796875
29, -5371.880115270615, 2, 6.944392880999658, 411, 43173,                                             43173, 0.0, 3246.087646484375
30, -6859.689931631088, 2, 10.9504201740001, 676, 43849,                                             43849, 0.0, 3543.272216796875
31, -9606.55850315094, 2, 12.91221727499942, 783, 44632,                                             44632, 0.0, 3825.860107421875
32, -9298.975065231323, 2, 11.333639971999219, 673, 45305,                                             45305, 0.0, 3725.450927734375
33, -7137.469055175781, 2, 10.350288245999764, 631, 45936,                                             45936, 0.0, 3630.330810546875
34, -11398.567108869553, 2, 10.557655713000713, 654, 46590,                                             46590, 0.0, 3312.201416015625
35, -6437.188722372055, 2, 11.149703719999707, 686, 47276,                                             47276, 0.0, 3836.735107421875
36, -4787.358757019043, 2, 6.718025987999681, 398, 47674,                                             47674, 0.0, 2943.7412109375
37, -5715.880778551102, 2, 10.755036479999944, 662, 48336,                                             48336, 0.0, 3299.371337890625
38, -5803.952157258987, 2, 10.524830270000166, 640, 48976,                                             48976, 0.0, 3689.795654296875
39, -4620.060759186745, 2, 6.937120857000082, 426, 49402,                                             49402, 0.0, 3027.103759765625
