episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -12047.7208609581, 2, 10.330278886998713, 636, 25108,                                             25108, 0.0, 6273.9833984375
2, -4631.206202983856, 2, 5.343334412005788, 307, 25415,                                             25415, 0.0, 5860.138671875
3, -10365.362154722214, 2, 12.358422492005047, 760, 26175,                                             26175, 0.0, 5822.69384765625
4, -4821.579486131668, 2, 5.944461045000935, 369, 26544,                                             26544, 0.0, 5175.8115234375
5, -7546.477093696594, 2, 11.93415006500436, 713, 27257,                                             27257, 0.0, 6442.73828125
6, -4761.485266447067, 2, 5.746982099000888, 329, 27586,                                             27586, 0.0, 7138.7744140625
7, -8215.131700515747, 2, 12.735462033997464, 783, 28369,                                             28369, 0.0, 5690.9931640625
8, -8658.39009809494, 2, 12.131916837002791, 731, 29100,                                             29100, 0.0, 5569.74853515625
9, -5821.679738521576, 2, 11.731875625999237, 717, 29817,                                             29817, 0.0, 6437.19091796875
10, -9200.958238840103, 2, 12.15861383399897, 750, 30567,                                             30567, 0.0, 5358.71728515625
11, 3114.80452978611, 1, 4.278370241001539, 250, 30817,                                             30817, 0.0, 5190.1318359375
12, -6125.910183191299, 2, 7.921540789000574, 477, 31294,                                             31294, 0.0, 6716.49853515625
13, -4572.441425561905, 2, 6.541411883001274, 393, 31687,                                             31687, 0.0, 6055.8818359375
14, 411.19943526387215, 1, 9.124557682996965, 555, 32242,                                             32242, 0.0, 5421.52490234375
15, -4368.804986476898, 2, 3.7113428320008097, 212, 32454,                                             32454, 0.0, 5704.53466796875
16, -5016.408069610596, 2, 4.938587803000701, 305, 32759,                                             32759, 0.0, 5683.8173828125
17, 1046.9394421875477, 1, 11.959967577997304, 721, 33480,                                             33480, 0.0, 6024.8701171875
18, -5765.924411535263, 2, 5.315152037997905, 315, 33795,                                             33795, 0.0, 7242.15234375
19, -7778.290647268295, 2, 13.137032721999276, 805, 34600,                                             34600, 0.0, 6466.0205078125
20, -11221.857976853848, 2, 16.3483685780011, 1002, 35602,                                             35602, 0.0, 5888.17333984375
21, -4976.246134757996, 2, 6.10734064400458, 368, 35970,                                             35970, 0.0, 5068.15771484375
22, -13480.722241044044, 2, 22.356473312000162, 1385, 37355,                                             37355, 0.0, 5944.24169921875
23, -4811.631036758423, 2, 5.142236488994968, 309, 37664,                                             37664, 0.0, 4545.498046875
24, -7843.044595003128, 2, 16.341796967994014, 984, 38648,                                             38648, 0.0, 5441.63232421875
25, -6374.135133981705, 2, 12.158470328999101, 754, 39402,                                             39402, 0.0, 5257.470703125
26, -8006.817032575607, 2, 18.552030368002306, 1128, 40530,                                             40530, 0.0, 5479.2763671875
27, -5148.451643943787, 2, 7.3472816059947945, 415, 40945,                                             40945, 0.0, 4407.5703125
