episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
64, 2728.0847150087357, 1, 4.714420380999854, 210, 60217,                                             60217, 0.0, 2111.060546875
65, -4914.238898277283, 2, 7.179611097999896, 335, 60552,                                             60552, 0.0, 2325.561279296875
66, -6398.209265470505, 2, 12.782330553000065, 588, 61140,                                             61140, 0.0, 1966.5599365234375
67, -5871.849414229393, 2, 12.573957395999969, 602, 61742,                                             61742, 0.0, 2126.714599609375
68, -5598.25026345253, 2, 11.130246136999858, 530, 62272,                                             62272, 0.0, 2520.5185546875
69, -5254.720309495926, 2, 6.361607109000033, 307, 62579,                                             62579, 0.0, 3150.27587890625
70, -6683.707760334015, 2, 12.530786860000035, 589, 63168,                                             63168, 0.0, 2831.4453125
71, -6124.747293710709, 2, 12.489495789000102, 612, 63780,                                             63780, 0.0, 2410.763427734375
72, -4100.299805402756, 2, 7.11886868900001, 327, 64107,                                             64107, 0.0, 2453.08154296875
73, -5393.643336772919, 2, 11.184063265000077, 528, 64635,                                             64635, 0.0, 2030.6697998046875
74, 3075.4759781956673, 1, 4.388603112999817, 208, 64843,                                             64843, 0.0, 2213.41357421875
75, -4700.638604640961, 2, 7.561028469999883, 341, 65184,                                             65184, 0.0, 2035.4788818359375
76, -8828.865138530731, 2, 16.155555124000102, 762, 65946,                                             65946, 0.0, 2170.81787109375
77, -9217.910992860794, 2, 14.546459718999813, 674, 66620,                                             66620, 0.0, 2364.643798828125
78, -5743.072767496109, 2, 11.372449978000077, 546, 67166,                                             67166, 0.0, 2604.74853515625
79, -4431.718341112137, 2, 11.129653125000004, 514, 67680,                                             67680, 0.0, 2763.00634765625
80, -5193.338721513748, 2, 12.188580544999922, 603, 68283,                                             68283, 0.0, 3082.819091796875
81, -11772.41374862194, 2, 36.340479204000076, 1690, 69973,                                             69973, 0.0, 2566.376708984375
82, -9260.606390953064, 2, 20.95867168000018, 1013, 70986,                                             70986, 0.0, 1978.7569580078125
83, -10119.446554899216, 2, 37.80702636900014, 1769, 72755,                                             72755, 0.0, 1938.3702392578125
84, -5330.602477550507, 2, 8.130475042999933, 361, 73116,                                             73116, 0.0, 2218.96044921875
85, -6214.366919994354, 2, 11.537315282999998, 558, 73674,                                             73674, 0.0, 2497.7841796875
86, -6526.296081781387, 2, 11.384244386999853, 529, 74203,                                             74203, 0.0, 1549.43115234375
87, -6913.70036649704, 2, 11.570127274000015, 575, 74778,                                             74778, 0.0, 2868.91162109375
88, -12213.501016497612, 2, 44.45982897700014, 2145, 76923,                                             76923, 0.0, 2292.31591796875
89, -11761.299661278725, 1, 32.80192232400009, 1538, 78461,                                             78461, 0.0, 1803.7298583984375
90, -4906.1060473918915, 3, 15.600121719000072, 734, 79195,                                             79195, 0.0, 3046.738037109375
91, -1641.5583538413048, 1, 16.293933128999925, 743, 79938,                                             79938, 0.0, 2484.24658203125
92, -4089.4428654909134, 2, 3.91760133899993, 165, 80103,                                             80103, 0.0, 1742.960205078125
93, -8685.931422114372, 2, 13.391172516000097, 608, 80711,                                             80711, 0.0, 3027.732177734375
94, -7832.4591200351715, 2, 12.933074214000044, 588, 81299,                                             81299, 0.0, 2066.854248046875
95, -9520.563452243805, 2, 19.389699493999842, 933, 82232,                                             82232, 0.0, 2142.151123046875
96, -6691.025308609009, 2, 12.933673465000084, 605, 82837,                                             82837, 0.0, 2342.44580078125
97, -8513.37184882164, 2, 12.540028244000041, 602, 83439,                                             83439, 0.0, 1730.5440673828125
98, -5380.1548936367035, 2, 12.184977524000033, 554, 83993,                                             83993, 0.0, 1932.1103515625
99, -12150.755461335182, 2, 36.592983875999835, 1762, 85755,                                             85755, 0.0, 2463.625244140625
100, -4607.772415161133, 2, 11.184772840000278, 507, 86262,                                             86262, 0.0, 1825.326416015625
101, -9211.082357764244, 2, 21.19718708499977, 995, 87257,                                             87257, 0.0, 2763.8779296875
102, -6906.500414133072, 2, 13.976836077999906, 648, 87905,                                             87905, 0.0, 1840.65283203125
103, -5665.607895672321, 2, 11.582613777999995, 545, 88450,                                             88450, 0.0, 2422.836669921875
104, -5426.458468675613, 2, 11.733613759000036, 535, 88985,                                             88985, 0.0, 2012.1544189453125
105, -14092.956049442291, 4, 52.090922969000076, 2465, 91450,                                             91450, 0.0, 2703.52490234375
106, -12177.448536396027, 4, 52.25366994600017, 2446, 93896,                                             93896, 0.0, 2262.84716796875
107, -9917.050540447235, 4, 52.076978849999705, 2478, 96374,                                             96374, 0.0, 2185.33447265625
108, -6429.871655225754, 2, 11.738466940999842, 527, 96901,                                             96901, 0.0, 2689.08056640625
109, -16124.521459937096, 2, 46.670399977000216, 2188, 99089,                                             99089, 0.0, 2161.21484375
110, 2479.889769554138, 1, 9.775060950999887, 441, 99530,                                             99530, 0.0, 2717.186279296875
111, 1818.0891706347466, 1, 13.867092326000147, 614, 100144,                                             100144, 0.0, 1800.6868896484375
112, -4278.655684828758, 2, 7.9608915899998465, 385, 100529,                                             100529, 0.0, 2513.64501953125
113, -8564.437862873077, 2, 22.162327588000153, 1049, 101578,                                             101578, 0.0, 2258.23583984375
114, 23.055373698472977, 1, 22.808091226000215, 1045, 102623,                                             102623, 0.0, 2143.45166015625
115, -7279.419646024704, 2, 15.199183946000176, 699, 103322,                                             103322, 0.0, 3040.2431640625
116, -4146.6112023591995, 2, 7.12013282099997, 331, 103653,                                             103653, 0.0, 3336.562255859375
117, -5089.367429733276, 2, 6.977149988000292, 320, 103973,                                             103973, 0.0, 1748.936767578125
118, 3393.3860464841127, 1, 3.9581880419996196, 179, 104152,                                             104152, 0.0, 4643.4638671875
119, -5188.303257226944, 2, 6.520126882000113, 282, 104434,                                             104434, 0.0, 1979.36279296875
120, 2579.5727458000183, 1, 8.381215279000116, 386, 104820,                                             104820, 0.0, 2580.286865234375
121, -4390.794505596161, 2, 3.614910237999993, 167, 104987,                                             104987, 0.0, 3063.40869140625
122, 2586.960201740265, 1, 8.528224846000285, 399, 105386,                                             105386, 0.0, 2070.725830078125
123, -15401.630847036839, 2, 47.23698945900014, 2228, 107614,                                             107614, 0.0, 2737.49072265625
124, -13067.582610487938, 2, 38.656006713999886, 1774, 109388,                                             109388, 0.0, 3171.657470703125
125, -8449.082780241966, 2, 30.377384584999618, 1401, 110789,                                             110789, 0.0, 3000.647705078125
126, -13291.475311875343, 4, 51.6902958859996, 2445, 113234,                                             113234, 0.0, 2712.42333984375
127, -10842.12739610672, 2, 36.80575513700023, 1698, 114932,                                             114932, 0.0, 2340.05126953125
128, -8971.770695447922, 4, 52.08200057499971, 2395, 117327,                                             117327, 0.0, 2840.853759765625
129, -6279.6496777534485, 2, 11.732398369999828, 537, 117864,                                             117864, 0.0, 2430.13037109375
130, 3222.503863543272, 1, 4.316563604999828, 182, 118046,                                             118046, 0.0, 1842.33349609375
131, -7739.054268240929, 2, 25.648584478999965, 1225, 119271,                                             119271, 0.0, 2366.966064453125
132, -15587.638358712196, 4, 52.084494735000135, 2412, 121683,                                             121683, 0.0, 2911.274658203125
133, -9972.37454867363, 4, 52.251848691000305, 2423, 124106,                                             124106, 0.0, 2788.9150390625
134, -12844.231443881989, 2, 39.03904920900004, 1839, 125945,                                             125945, 0.0, 2643.986328125
135, -10089.3954154253, 4, 52.11166320299981, 2433, 128378,                                             128378, 0.0, 2558.774658203125
136, 3272.905528753996, 1, 4.108824640999956, 182, 128560,                                             128560, 0.0, 2247.85498046875
137, -11193.545081973076, 4, 52.49661426500006, 2442, 131002,                                             131002, 0.0, 2517.5654296875
138, 2849.5585399866104, 1, 8.324182633000419, 371, 131373,                                             131373, 0.0, 2189.499755859375
139, -13621.454049110413, 2, 45.06364322300033, 2097, 133470,                                             133470, 0.0, 2635.373291015625
140, -15245.638805508614, 2, 52.2406115509998, 2410, 135880,                                             135880, 0.0, 2415.052490234375
141, -8874.76151394844, 2, 21.666378825000265, 1041, 136921,                                             136921, 0.0, 2637.6103515625
142, -13249.196635812521, 4, 52.69944690500006, 2385, 139306,                                             139306, 0.0, 2380.89794921875
143, -12720.379479289055, 4, 52.045795952999924, 2421, 141727,                                             141727, 0.0, 2219.44921875
144, -9989.681886196136, 4, 51.699697276999814, 2401, 144128,                                             144128, 0.0, 2592.27392578125
145, -13451.051858007908, 4, 52.0455808910001, 2368, 146496,                                             146496, 0.0, 2339.0458984375
146, -19590.05018055439, 3, 51.29159373600032, 2406, 148902,                                             148902, 0.0, 2156.774169921875
147, -15134.212134718895, 2, 51.87907649800036, 2366, 151268,                                             151268, 0.0, 2089.343505859375
148, -11205.49857866764, 4, 52.29126244100007, 2373, 153641,                                             153641, 0.0, 2181.89892578125
149, -12526.400281965733, 3, 47.441925558000094, 2182, 155823,                                             155823, 0.0, 2388.09765625
150, -14364.626763045788, 2, 51.85269417099971, 2316, 158139,                                             158139, 0.0, 2413.609130859375
151, -10430.904227614403, 4, 52.50750756999969, 2530, 160669,                                             160669, 0.0, 2481.583251953125
152, 3259.8942608237267, 1, 4.570734629000071, 190, 160859,                                             160859, 0.0, 2959.89794921875
153, -14396.188331007957, 4, 68.89491483600023, 2617, 163476,                                             163476, 0.0, 2303.4775390625
154, -12239.474263429642, 4, 79.37141789399993, 2614, 166090,                                             166090, 0.0, 2246.224365234375
155, -13739.044845044613, 4, 58.78769385099986, 2576, 168666,                                             168666, 0.0, 2280.620361328125
156, -10988.64850628376, 2, 43.90225868400012, 1831, 170497,                                             170497, 0.0, 2230.70947265625
157, -10193.18398141861, 2, 36.03365952200011, 1514, 172011,                                             172011, 0.0, 2104.002685546875
158, 1459.699956893921, 1, 19.411963231999835, 818, 172829,                                             172829, 0.0, 2169.345703125
159, -12962.029637992382, 4, 64.79691092800022, 2671, 175500,                                             175500, 0.0, 2437.09619140625
160, 1555.258037596941, 1, 15.58865738600025, 782, 176282,                                             176282, 0.0, 1763.544921875
161, -5996.394984483719, 2, 16.183509828999377, 778, 177060,                                             177060, 0.0, 2001.2498779296875
162, -110.69281047582626, 1, 24.20289155499995, 1090, 178150,                                             178150, 0.0, 1554.243408203125
163, -5211.567894876003, 2, 13.912516983999922, 430, 178580,                                             178580, 0.0, 1389.75048828125
164, 3079.487094372511, 1, 4.762464890999581, 198, 178778,                                             178778, 0.0, 2476.01416015625
165, -8623.335108041763, 2, 28.797280147000492, 1299, 180077,                                             180077, 0.0, 1884.0833740234375
166, -10853.30840176344, 2, 39.88301447199956, 1496, 181573,                                             181573, 0.0, 2371.484375
167, -1310.2780767679214, 1, 29.630983825999465, 1187, 182760,                                             182760, 0.0, 2260.822021484375
