episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -9387.486591219902, 2, 7.924596551000036, 493, 25424,                                             25424, 0.0, 4249.82470703125
2, -14907.083370566368, 2, 21.198366116000102, 1290, 26714,                                             26714, 0.0, 3913.29345703125
3, 2204.6285069584846, 1, 4.11602927399997, 236, 26950,                                             26950, 0.0, 3315.03125
4, -5509.9395887851715, 2, 4.3143375040000365, 250, 27200,                                             27200, 0.0, 3891.8994140625
5, -5379.410450220108, 2, 6.536737982999966, 407, 27607,                                             27607, 0.0, 4658.517578125
6, -11421.08331501484, 2, 13.965263105000076, 826, 28433,                                             28433, 0.0, 4296.2783203125
7, -5006.135898947716, 2, 7.523699684000007, 451, 28884,                                             28884, 0.0, 3709.8251953125
8, -4349.558254241943, 2, 6.550634948000038, 404, 29288,                                             29288, 0.0, 4777.5234375
9, -8308.574471473694, 2, 11.346696959000042, 682, 29970,                                             29970, 0.0, 4846.32080078125
10, -7956.927178859711, 3, 8.747302748999914, 544, 30514,                                             30514, 0.0, 4789.84130859375
11, -6243.78141617775, 2, 8.493280466999977, 523, 31037,                                             31037, 0.0, 3548.4814453125
12, -5755.11692738533, 2, 6.944049428999961, 428, 31465,                                             31465, 0.0, 4622.13037109375
13, -5489.655987977982, 2, 7.118348988000093, 435, 31900,                                             31900, 0.0, 4280.2138671875
14, -10149.04456281662, 3, 9.952614730999926, 596, 32496,                                             32496, 0.0, 4161.43896484375
15, -3940.1954131126404, 2, 6.715332209000053, 399, 32895,                                             32895, 0.0, 3804.316162109375
16, -12378.48968410492, 2, 13.161257844000033, 809, 33704,                                             33704, 0.0, 3985.775634765625
17, -5562.431062221527, 2, 10.94804271199996, 672, 34376,                                             34376, 0.0, 4193.40380859375
18, -8063.460229754448, 2, 14.735321247000002, 900, 35276,                                             35276, 0.0, 3418.71630859375
19, -5561.529336929321, 2, 5.3369009129999085, 317, 35593,                                             35593, 0.0, 3789.8134765625
20, -9922.064143419266, 2, 11.95547524899996, 746, 36339,                                             36339, 0.0, 3075.645751953125
21, -6859.776931762695, 2, 11.12906496900007, 698, 37037,                                             37037, 0.0, 3360.822998046875
22, -8105.48101401329, 3, 8.919853579000005, 548, 37585,                                             37585, 0.0, 3491.1279296875
23, -5092.161160469055, 2, 5.136780535000071, 322, 37907,                                             37907, 0.0, 3759.997314453125
24, -7121.775319814682, 2, 11.355343523999977, 695, 38602,                                             38602, 0.0, 3196.746826171875
25, -5692.94540810585, 2, 6.942495354000016, 417, 39019,                                             39019, 0.0, 3076.981689453125
26, -4450.5560734272, 2, 7.119750231000012, 418, 39437,                                             39437, 0.0, 2974.889892578125
