episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -14501.820350885391, 2, 12.556206647999943, 785, 25756,                                             25756, 0.0, 9844.9423828125
2, -6139.468208193779, 2, 11.185052487999997, 680, 26436,                                             26436, 0.0, 10094.123046875
3, -17172.23557448387, 2, 12.527473225999984, 765, 27201,                                             27201, 0.0, 10608.21875
4, -5607.452107906342, 2, 5.94060398900001, 355, 27556,                                             27556, 0.0, 10289.7548828125
5, -13342.149687290192, 2, 28.79922862600006, 1801, 29357,                                             29357, 0.0, 8878.0693359375
6, 1073.1816011667252, 1, 10.35480395500008, 630, 29987,                                             29987, 0.0, 9643.91015625
7, -4508.014154434204, 2, 3.512792126999898, 201, 30188,                                             30188, 0.0, 8301.1708984375
8, -4886.962900400162, 2, 6.940708924999967, 422, 30610,                                             30610, 0.0, 8233.6484375
9, -4825.8357491493225, 2, 5.7141654920000065, 340, 30950,                                             30950, 0.0, 7857.47802734375
10, -7671.605985164642, 3, 9.14633974000003, 567, 31517,                                             31517, 0.0, 8319.4365234375
11, -4697.795224905014, 2, 5.527727162999895, 311, 31828,                                             31828, 0.0, 9543.666015625
12, -12521.219078660011, 2, 20.75570892399992, 1279, 33107,                                             33107, 0.0, 8678.158203125
13, -7641.425140380859, 2, 11.953373446, 733, 33840,                                             33840, 0.0, 9023.791015625
14, -6567.0226713865995, 1, 21.17794972699994, 1320, 35160,                                             35160, 0.0, 8245.150390625
15, -5564.516765117645, 2, 8.1213073670001, 483, 35643,                                             35643, 0.0, 7353.720703125
16, -6695.799212932587, 2, 7.921685517000014, 475, 36118,                                             36118, 0.0, 7698.6142578125
17, -10939.23747587204, 2, 11.753995144999976, 723, 36841,                                             36841, 0.0, 7605.09814453125
18, -5770.572179079056, 2, 6.739635859000032, 413, 37254,                                             37254, 0.0, 8975.38671875
19, -13548.538773298264, 2, 16.93936010999994, 1039, 38293,                                             38293, 0.0, 8607.5234375
20, -5894.74631524086, 2, 7.148355160999927, 431, 38724,                                             38724, 0.0, 7841.2470703125
21, -7897.075524568558, 2, 11.546907377000025, 699, 39423,                                             39423, 0.0, 7499.958984375
22, -8053.545807361603, 2, 13.160480127000028, 801, 40224,                                             40224, 0.0, 7325.65478515625
23, -7554.008985280991, 2, 13.532612984000025, 821, 41045,                                             41045, 0.0, 7409.51513671875
24, -15536.829473435879, 2, 17.369196071000033, 1080, 42125,                                             42125, 0.0, 7140.16796875
25, -17031.74325811863, 2, 24.387575836999986, 1516, 43641,                                             43641, 0.0, 7406.20263671875
26, -5627.893496513367, 2, 7.316180786000018, 444, 44085,                                             44085, 0.0, 6830.7216796875
27, -13811.39775443077, 2, 17.770838354000034, 1085, 45170,                                             45170, 0.0, 7367.78173828125
28, -7320.805403709412, 2, 11.722930225000027, 714, 45884,                                             45884, 0.0, 6927.177734375
29, -5686.6755220890045, 2, 6.918262685000059, 414, 46298,                                             46298, 0.0, 7042.0478515625
30, -7159.675844669342, 2, 8.340437196999915, 502, 46800,                                             46800, 0.0, 6700.65478515625
31, -9307.555605888367, 2, 11.530959419000055, 706, 47506,                                             47506, 0.0, 6630.0986328125
32, -5832.558943390846, 3, 9.325006009000049, 564, 48070,                                             48070, 0.0, 6287.05078125
33, -11536.168108820915, 2, 19.169265488000065, 1170, 49240,                                             49240, 0.0, 6653.64404296875
34, -5853.326436519623, 2, 7.520391421000113, 449, 49689,                                             49689, 0.0, 7184.2158203125
35, -7788.7598794698715, 2, 12.159241358999907, 749, 50438,                                             50438, 0.0, 6081.32861328125
36, -6086.923536300659, 2, 7.317642891999867, 443, 50881,                                             50881, 0.0, 6693.11279296875
37, -8673.265647411346, 2, 12.359584059000099, 768, 51649,                                             51649, 0.0, 6430.04833984375
38, -5894.307270526886, 3, 9.12576667899998, 547, 52196,                                             52196, 0.0, 6383.357421875
39, -5712.75873541832, 3, 8.921752640000022, 531, 52727,                                             52727, 0.0, 5801.89794921875
40, -6054.801706790924, 3, 8.725700177999897, 511, 53238,                                             53238, 0.0, 5308.38134765625
41, -6989.250186085701, 2, 12.14016936400003, 751, 53989,                                             53989, 0.0, 5323.111328125
42, -6046.477586746216, 2, 7.317638229000067, 420, 54409,                                             54409, 0.0, 5443.390625
43, 1426.6538760066032, 1, 5.113187002999894, 298, 54707,                                             54707, 0.0, 5358.32421875
44, -6135.356177568436, 2, 7.71989994899991, 446, 55153,                                             55153, 0.0, 7330.92724609375
45, -6741.677720069885, 2, 11.359314771999834, 691, 55844,                                             55844, 0.0, 8591.08203125
46, -6811.0079889297485, 2, 7.957976828000028, 493, 56337,                                             56337, 0.0, 5993.7685546875
47, -5192.520984530449, 2, 10.728388329999916, 642, 56979,                                             56979, 0.0, 6050.5439453125
48, -6607.313221216202, 2, 10.754514652999887, 653, 57632,                                             57632, 0.0, 6008.3232421875
49, -7407.54882645607, 2, 11.154092612000113, 682, 58314,                                             58314, 0.0, 6012.59423828125
50, -8819.668703317642, 2, 12.731073945999924, 790, 59104,                                             59104, 0.0, 5617.4677734375
51, -9244.881785154343, 2, 13.145268950999935, 801, 59905,                                             59905, 0.0, 6825.412109375
52, 1832.7925811111927, 1, 8.547063921000017, 517, 60422,                                             60422, 0.0, 5079.27734375
53, -5405.9379251003265, 2, 4.110445201999937, 230, 60652,                                             60652, 0.0, 7572.16015625
54, -5252.581102609634, 2, 6.735305826000058, 417, 61069,                                             61069, 0.0, 6355.7021484375
55, -10610.944189786911, 2, 13.160864363999963, 769, 61838,                                             61838, 0.0, 6700.04931640625
56, -9256.759242653847, 2, 12.561087606000001, 759, 62597,                                             62597, 0.0, 5988.59765625
57, -6879.8371024131775, 2, 11.127992666000182, 679, 63276,                                             63276, 0.0, 5274.37646484375
58, -6564.2711815834045, 2, 7.72064123999985, 461, 63737,                                             63737, 0.0, 4855.91943359375
59, 1595.7909563183784, 1, 4.532954203999907, 277, 64014,                                             64014, 0.0, 6463.3408203125
60, -4060.9167580604553, 2, 2.9076485369998863, 167, 64181,                                             64181, 0.0, 4675.275390625
61, -15319.993197441101, 2, 20.57040283399988, 1242, 65423,                                             65423, 0.0, 6942.9912109375
62, -5739.309801101685, 2, 6.740077017999965, 398, 65821,                                             65821, 0.0, 6326.5322265625
63, -11033.777625799179, 2, 13.730482186000017, 843, 66664,                                             66664, 0.0, 6161.455078125
64, -6097.405084133148, 2, 7.343981975999895, 443, 67107,                                             67107, 0.0, 6597.21484375
65, -12913.635061860085, 3, 19.979957210000066, 1225, 68332,                                             68332, 0.0, 5797.6513671875
66, -7905.892686486244, 2, 15.140665066999873, 899, 69231,                                             69231, 0.0, 4552.1201171875
67, -27125.8452283144, 4, 50.44629070000019, 3094, 72325,                                             72325, 0.0, 5432.208984375
68, -7947.080354452133, 2, 11.528706033999924, 683, 73008,                                             73008, 0.0, 5024.90283203125
69, -6051.6081211566925, 3, 8.543157893999933, 515, 73523,                                             73523, 0.0, 5148.17919921875
70, -4161.688322305679, 2, 6.343443001999958, 385, 73908,                                             73908, 0.0, 5239.85595703125
71, -5136.682896375656, 2, 6.895419489000005, 416, 74324,                                             74324, 0.0, 4169.9736328125
72, -4975.808341264725, 2, 6.536546738999959, 383, 74707,                                             74707, 0.0, 4862.0947265625
73, -8459.28410744667, 2, 12.133766041000172, 732, 75439,                                             75439, 0.0, 5037.49072265625
74, -7324.196302175522, 2, 8.924159036999981, 525, 75964,                                             75964, 0.0, 4603.14794921875
75, -5007.1739810705185, 2, 6.73975455499999, 398, 76362,                                             76362, 0.0, 4606.01123046875
76, -5685.216544866562, 3, 8.525671881000108, 503, 76865,                                             76865, 0.0, 4580.60546875
77, -9570.421992182732, 3, 10.358811206999917, 626, 77491,                                             77491, 0.0, 5586.224609375
78, -6951.092214107513, 2, 10.953246820000004, 671, 78162,                                             78162, 0.0, 4575.5849609375
79, -7570.767130374908, 2, 11.326969984000016, 684, 78846,                                             78846, 0.0, 4694.9892578125
80, -6136.789519786835, 2, 11.157062069999938, 687, 79533,                                             79533, 0.0, 4755.14208984375
81, -4864.543708324432, 2, 6.700675025999999, 395, 79928,                                             79928, 0.0, 5019.2802734375
82, -5878.477872371674, 2, 7.1209643830000005, 415, 80343,                                             80343, 0.0, 4212.56591796875
83, -5121.949707746506, 2, 7.347120131000111, 437, 80780,                                             80780, 0.0, 5671.60791015625
84, -8308.513591527939, 2, 12.529976179000187, 756, 81536,                                             81536, 0.0, 4420.90966796875
85, -11400.61567234993, 2, 20.971381249999922, 1274, 82810,                                             82810, 0.0, 4489.40283203125
86, -7055.369966983795, 2, 11.147351314999923, 649, 83459,                                             83459, 0.0, 4743.16162109375
87, -8186.831291675568, 3, 9.952620095000157, 569, 84028,                                             84028, 0.0, 4396.171875
88, -7243.9444007873535, 2, 11.525956304999909, 690, 84718,                                             84718, 0.0, 3927.008056640625
89, -7722.901704788208, 2, 12.141756746000056, 726, 85444,                                             85444, 0.0, 4292.82080078125
90, -5118.906834125519, 2, 6.5369539840000925, 393, 85837,                                             85837, 0.0, 4192.86083984375
91, -7124.942206144333, 2, 11.934854789000156, 716, 86553,                                             86553, 0.0, 3924.341064453125
92, -8452.595217704773, 2, 17.141038640000033, 1045, 87598,                                             87598, 0.0, 4604.76123046875
93, 3028.2544925808907, 1, 4.316354100000126, 243, 87841,                                             87841, 0.0, 4231.71923828125
94, -9197.47471666336, 2, 15.166570465000177, 934, 88775,                                             88775, 0.0, 4168.689453125
95, -7999.4088542461395, 2, 11.331090323999888, 679, 89454,                                             89454, 0.0, 3933.827392578125
96, -5976.433007240295, 2, 11.329152865999959, 679, 90133,                                             90133, 0.0, 3955.48388671875
97, -5743.733864068985, 2, 10.549208472999908, 630, 90763,                                             90763, 0.0, 3735.4619140625
98, -4893.275113105774, 2, 7.14523030700002, 429, 91192,                                             91192, 0.0, 3829.208740234375
99, -11305.912463665009, 2, 11.725937971000121, 701, 91893,                                             91893, 0.0, 3853.752197265625
100, -9691.83150267601, 2, 12.157126337999898, 718, 92611,                                             92611, 0.0, 3405.299560546875
101, -6771.9436576366425, 2, 10.94191452500013, 664, 93275,                                             93275, 0.0, 3482.04248046875
102, 2367.20113876462, 1, 8.11929471999997, 477, 93752,                                             93752, 0.0, 3696.01806640625
103, -6395.685802698135, 2, 4.741787760000079, 256, 94008,                                             94008, 0.0, 4232.97607421875
104, -7593.652452945709, 2, 11.329076236999981, 671, 94679,                                             94679, 0.0, 3821.9296875
105, -4940.484880685806, 2, 11.134066931000007, 668, 95347,                                             95347, 0.0, 3621.4169921875
106, -6603.9128839969635, 2, 10.75075095000011, 656, 96003,                                             96003, 0.0, 3845.919677734375
107, 2439.931343436241, 1, 4.9377265789999, 284, 96287,                                             96287, 0.0, 3559.424560546875
108, -5990.182939052582, 2, 7.5174073989999215, 428, 96715,                                             96715, 0.0, 4033.3369140625
