episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
178, -8513.527568101883, 2, 19.960795179998968, 1182, 152624,                                             152624, 0.0, 2067.193115234375
179, -6136.775363981724, 2, 18.548202437988948, 1081, 153705,                                             153705, 0.0, 2199.863525390625
180, -5511.007992982864, 2, 11.732013008993817, 671, 154376,                                             154376, 0.0, 2023.9820556640625
181, -5490.371282577515, 2, 11.875403297992307, 683, 155059,                                             155059, 0.0, 1792.7825927734375
182, -5868.714264392853, 2, 11.357974287006073, 674, 155733,                                             155733, 0.0, 1788.100830078125
183, -7910.3725009560585, 2, 27.597568525001407, 1639, 157372,                                             157372, 0.0, 2409.420166015625
184, -6026.182777523994, 2, 18.948381153008086, 1122, 158494,                                             158494, 0.0, 2124.25390625
185, -3125.4826320409775, 3, 8.544029711003532, 500, 158994,                                             158994, 0.0, 2533.50439453125
186, -5119.042470693588, 2, 11.93068915999902, 694, 159688,                                             159688, 0.0, 1967.385986328125
187, -4123.03760099411, 2, 6.74239947499882, 399, 160087,                                             160087, 0.0, 1982.7506103515625
188, -6773.751797616482, 2, 20.981161157003953, 1243, 161330,                                             161330, 0.0, 1966.4415283203125
189, -4268.073160409927, 2, 6.542480058997171, 386, 161716,                                             161716, 0.0, 2091.589111328125
190, -4309.459079384804, 2, 7.517293174008955, 420, 162136,                                             162136, 0.0, 2122.127197265625
191, -5441.046676397324, 2, 11.719890403008321, 685, 162821,                                             162821, 0.0, 1837.7552490234375
192, -7953.877798199654, 3, 20.148096188000636, 1193, 164014,                                             164014, 0.0, 2227.408447265625
193, -5970.748558998108, 2, 10.95485552099126, 661, 164675,                                             164675, 0.0, 2147.260498046875
194, -11685.070540547371, 2, 29.970977700009826, 1795, 166470,                                             166470, 0.0, 2089.17626953125
195, -7652.610874891281, 2, 20.5805834519997, 1219, 167689,                                             167689, 0.0, 1997.288818359375
196, -11606.702472567558, 2, 27.389333761006128, 1624, 169313,                                             169313, 0.0, 1896.1673583984375
197, 2247.0934687554836, 1, 3.9081638770003337, 217, 169530,                                             169530, 0.0, 1409.9195556640625
198, -5012.897362470627, 2, 7.753003966005053, 453, 169983,                                             169983, 0.0, 1968.6304931640625
199, -6109.887410163879, 3, 9.35652661700442, 548, 170531,                                             170531, 0.0, 1997.8387451171875
